lon,lat,ROUTE_NUMBER,DIRECTION,BUS_STOP_ORDER_NUM,BUS_STOP_NUM_1,Current_Stop,BUS_STOP_SUB_NUM_2,BUS_STOP_NUM_2,Next_Stop,PLANNED_ROAD,REAL_ROAD,DELAY,VEHICLE_NUMBER,Current_Time,Current_Day,Current_Hour,Current_Minutes,Current_Seconds
21.24116,48.99223,23,P,2,2,Na Hlavnej,1,531,Okružná,800,635,-35,405,1612247625263,2,7,33,45
21.24135,48.99199,29,P,9,531,Okružná,1,114,Grešova,500,163,-10,357,1612251045361,2,8,30,45
21.2413,48.99195,29,P,9,531,Okružná,1,114,Grešova,500,163,44,397,1612189797513,1,15,29,57
21.24129,48.99196,29,P,9,531,Okružná,1,114,Grešova,500,172,-26,359,1612337486539,3,8,31,26
21.24118,48.99225,23,P,2,2,Na Hlavnej,1,531,Okružná,800,625,-2,405,1612341208299,3,9,33,28
21.24112,48.99223,29,P,9,531,Okružná,1,114,Grešova,500,131,40,359,1612344599997,3,10,29,59
21.24145,48.99197,29,P,9,531,Okružná,1,114,Grešova,500,181,-7,359,1612330988455,3,6,43,8
21.24124,48.99218,23,P,2,2,Na Hlavnej,1,531,Okružná,800,602,-338,402,1612332234092,3,7,3,54
21.24089,48.99244,23,P,2,2,Na Hlavnej,1,531,Okružná,800,677,-66,405,1612334079961,3,7,34,39
21.24125,48.99197,29,P,9,531,Okružná,1,114,Grešova,500,172,-50,359,1612334620203,3,7,43,40
21.24139,48.99207,23,P,2,2,Na Hlavnej,1,531,Okružná,800,597,-29,405,1612330433198,3,6,33,53
21.24095,48.99246,29,P,9,531,Okružná,1,114,Grešova,500,118,-47,359,1612334605203,3,7,43,25
21.2411,48.99225,29,P,9,531,Okružná,1,114,Grešova,500,136,-3,359,1612341058246,3,9,30,58
21.24124,48.99196,29,P,9,531,Okružná,1,114,Grešova,500,168,33,359,1612344615002,3,10,30,15
21.24104,48.99232,29,P,9,531,Okružná,1,114,Grešova,500,122,-7,359,1612330973449,3,6,42,53
21.24108,48.99227,29,P,9,531,Okružná,1,114,Grešova,500,131,-20,359,1612337471531,3,8,31,11
21.24112,48.99224,23,P,2,2,Na Hlavnej,1,531,Okružná,800,640,-1,405,1612288398234,2,18,53,18
21.24139,48.9921,23,P,2,2,Na Hlavnej,1,531,Okružná,800,583,16,405,1612291970047,2,19,52,50
21.24142,48.99209,23,P,2,2,Na Hlavnej,1,531,Okružná,800,597,-54,405,1612284841518,2,17,54,1
21.24139,48.99198,29,P,9,531,Okružná,1,114,Grešova,500,172,-16,357,1612287047642,2,18,30,47
21.24108,48.99208,29,P,8,532,Floriánova,2,531,Okružná,540,540,52,398,1612290559336,2,19,29,19
21.24108,48.99208,29,P,8,532,Floriánova,2,531,Okružná,540,540,52,398,1612290544330,2,19,29,4
21.31862,48.97783,46,P,9,72,Záhradky,1,68,Pri zámočku,2400,2243,-47,392,1611784043996,27,22,47,23
21.31926,48.9778,46,T,3,69,Na Záhumní,0,68,Pri zámočku,361,361,-67,364,1611760680228,27,16,18,0
21.31909,48.97782,46,T,4,68,Pri zámočku,0,72,Záhradky,2360,20,-80,364,1611760695218,27,16,18,15
21.31933,48.97782,46,T,3,69,Na Záhumní,0,68,Pri zámočku,361,361,-48,368,1611764265302,27,17,17,45
21.31913,48.9778,46,P,9,72,Záhradky,1,68,Pri zámočku,2400,2400,-49,378,1611842389978,28,14,59,49
21.3192,48.9778,46,T,3,69,Na Záhumní,0,68,Pri zámočku,361,361,-61,378,1611843470003,28,15,17,50
21.31937,48.9778,46,T,3,69,Na Záhumní,0,68,Pri zámočku,361,361,-47,378,1611843454990,28,15,17,34
21.31913,48.9778,46,P,9,72,Záhradky,1,68,Pri zámočku,2400,2400,122,368,1611763005272,27,16,56,45
21.31925,48.9778,46,P,10,68,Pri zámočku,1,69,Na Záhumní,370,14,107,368,1611763020270,27,16,57,0
21.31914,48.9778,46,P,9,72,Záhradky,1,68,Pri zámočku,2400,2400,-46,378,1611842374963,28,14,59,34
21.31899,48.9778,46,T,4,68,Pri zámočku,0,72,Záhradky,2360,20,-74,378,1611843485002,28,15,18,5
21.24098,48.9924,29,P,9,531,Okružná,1,114,Grešova,500,109,-1,397,1612423836067,4,8,30,36
21.24098,48.99246,23,P,2,2,Na Hlavnej,1,531,Okružná,800,663,-23,378,1612418328541,4,6,58,48
21.24147,48.99202,29,P,9,531,Okružná,1,114,Grešova,500,177,-1,397,1612423851092,4,8,30,51
21.24127,48.99215,23,P,2,2,Na Hlavnej,1,531,Okružná,800,635,15,352,1612413181139,4,5,33,1
21.2411,48.99222,29,P,9,531,Okružná,1,114,Grešova,500,122,-163,397,1612431204631,4,10,33,24
21.24141,48.99196,29,P,9,531,Okružná,1,114,Grešova,500,172,-40,397,1612420999814,4,7,43,19
21.24121,48.99197,29,P,9,531,Okružná,1,114,Grešova,500,159,-128,397,1612417488101,4,6,44,48
21.241,48.99238,29,P,9,531,Okružná,1,114,Grešova,500,109,-40,397,1612420984798,4,7,43,4
21.24103,48.99231,29,P,9,531,Okružná,1,114,Grešova,500,127,-80,397,1612427512870,4,9,31,52
21.24113,48.99221,29,P,9,531,Okružná,1,114,Grešova,500,127,-175,397,1612431219637,4,10,33,39
21.24129,48.99214,23,P,2,2,Na Hlavnej,1,531,Okružná,800,644,-90,352,1612420489553,4,7,34,49
21.2411,48.9921,29,P,9,531,Okružná,1,114,Grešova,500,145,48,397,1612178995907,1,12,29,55
