lon,lat,Nazov,DELAY,Current_Stop,From,Destination,Current_Time,Current_Day,Current_Hour,Current_Minutes,Current_Seconds
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611829083466,28,11,18,3
21.95465,49.05145,Os 8915 ,0,Koškovce,Humenné,Medzilaborce mesto,1611829083466,28,11,18,3
22.05519,48.95489,Os 9414 ,0,Dlhé nad Cirochou,Stakčín,Humenné,1611829083466,28,11,18,3
22.05519,48.95489,Os 9415 ,0,Dlhé nad Cirochou,Humenné,Stakčín,1611829083466,28,11,18,3
21.95465,49.05145,Os 8912 ,0,Koškovce,Medzilaborce mesto,Humenné,1611829098589,28,11,18,18
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611829098589,28,11,18,18
21.241086,48.873332,Os 8512 ,0,Ličartovce,Košice,Prešov,1611829098589,28,11,18,18
21.95465,49.05145,Os 8915 ,0,Koškovce,Humenné,Medzilaborce mesto,1611829098589,28,11,18,18
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611829128505,28,11,18,48
21.241086,48.873332,Os 8512 ,0,Ličartovce,Košice,Prešov,1611829128505,28,11,18,48
21.95465,49.05145,Os 8915 ,0,Koškovce,Humenné,Medzilaborce mesto,1611829128505,28,11,18,48
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611829143544,28,11,19,3
21.241086,48.873332,Os 8512 ,0,Ličartovce,Košice,Prešov,1611829143544,28,11,19,3
21.95465,49.05145,Os 8915 ,0,Koškovce,Humenné,Medzilaborce mesto,1611829143544,28,11,19,3
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611829158515,28,11,19,18
21.241086,48.873332,Os 8512 ,0,Ličartovce,Košice,Prešov,1611829158515,28,11,19,18
21.95465,49.05145,Os 8915 ,0,Koškovce,Humenné,Medzilaborce mesto,1611829158515,28,11,19,18
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611829218554,28,11,20,18
21.241086,48.873332,Os 8512 ,0,Ličartovce,Košice,Prešov,1611829218554,28,11,20,18
21.95465,49.05145,Os 8915 ,0,Koškovce,Humenné,Medzilaborce mesto,1611829218554,28,11,20,18
21.241086,48.873332,Os 8512 ,0,Ličartovce,Košice,Prešov,1611829233559,28,11,20,33
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611829233559,28,11,20,33
21.95465,49.05145,Os 8915 ,0,Koškovce,Humenné,Medzilaborce mesto,1611829233559,28,11,20,33
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611829248583,28,11,20,48
21.95465,49.05145,Os 8915 ,0,Koškovce,Humenné,Medzilaborce mesto,1611829248583,28,11,20,48
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611829263589,28,11,21,3
21.95465,49.05145,Os 8915 ,0,Koškovce,Humenné,Medzilaborce mesto,1611829263589,28,11,21,3
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611829368609,28,11,22,48
21.95465,49.05145,Os 8915 ,0,Koškovce,Humenné,Medzilaborce mesto,1611829368609,28,11,22,48
21.95465,49.05145,Os 8915 ,0,Koškovce,Humenné,Medzilaborce mesto,1611829458686,28,11,24,18
20.63011,48.83833,Os 7412 ,600,Nálepkovo,Margecany,Nálepkovo,1611829638763,28,11,27,18
21.95465,49.05145,Os 8915 ,0,Koškovce,Humenné,Medzilaborce mesto,1611829638763,28,11,27,18
20.63011,48.83833,Os 7412 ,600,Nálepkovo,Margecany,Nálepkovo,1611829653761,28,11,27,33
21.95465,49.05145,Os 8915 ,0,Koškovce,Humenné,Medzilaborce mesto,1611829653761,28,11,27,33
20.63011,48.83833,Os 7412 ,660,Nálepkovo,Margecany,Nálepkovo,1611829669765,28,11,27,49
21.95465,49.05145,Os 8915 ,0,Koškovce,Humenné,Medzilaborce mesto,1611829669765,28,11,27,49
21.95465,49.05145,Os 8915 ,0,Koškovce,Humenné,Medzilaborce mesto,1611829683827,28,11,28,3
20.63011,48.83833,Os 7412 ,660,Nálepkovo,Margecany,Nálepkovo,1611829683827,28,11,28,3
20.63011,48.83833,Os 7412 ,660,Nálepkovo,Margecany,Nálepkovo,1611829698767,28,11,28,18
20.63011,48.83833,Os 7412 ,720,Nálepkovo,Margecany,Nálepkovo,1611829728772,28,11,28,48
20.63011,48.83833,Os 7412 ,720,Nálepkovo,Margecany,Nálepkovo,1611829743809,28,11,29,3
20.63011,48.83833,Os 7412 ,720,Nálepkovo,Margecany,Nálepkovo,1611829758792,28,11,29,18
20.63011,48.83833,Os 7412 ,780,Nálepkovo,Margecany,Nálepkovo,1611829788857,28,11,29,48
20.63011,48.83833,Os 7412 ,780,Nálepkovo,Margecany,Nálepkovo,1611829803950,28,11,30,3
20.63011,48.83833,Os 7412 ,780,Nálepkovo,Margecany,Nálepkovo,1611829818844,28,11,30,18
21.37178,48.62929,REX 1901 ,300,Nižná Myšľa,Košice,Humenné,1611829998913,28,11,33,18
21.37178,48.62929,REX 1901 ,300,Nižná Myšľa,Košice,Humenné,1611830013979,28,11,33,33
21.32044,49.04386,Os 9212 ,0,Kapušany pri Prešove,Bardejov,Prešov,1611830239013,28,11,37,19
21.24601,48.7958,Os 7814 ,0,Kostoľany nad Hornádom,Košice,Poprad-Tatry,1611830509136,28,11,41,49
20.56151,48.95041,Os 7817 ,420,Spišská Nová Ves,Poprad-Tatry,Košice,1611830779215,28,11,46,19
20.56151,48.95041,Os 7817 ,420,Spišská Nová Ves,Poprad-Tatry,Košice,1611830794263,28,11,46,34
21.22393,48.85288,Os 7814 ,60,Kysak,Košice,Poprad-Tatry,1611830959304,28,11,49,19
21.22393,48.85288,Os 7814 ,60,Kysak,Košice,Poprad-Tatry,1611830989293,28,11,49,49
21.22393,48.85288,Os 7814 ,60,Kysak,Košice,Poprad-Tatry,1611831004309,28,11,50,4
21.22393,48.85288,Os 7814 ,60,Kysak,Košice,Poprad-Tatry,1611831079319,28,11,51,19
21.82483,48.86766,REX 1908 ,0,Strážske,Humenné,Košice,1611831139347,28,11,52,19
21.82483,48.86766,REX 1908 ,0,Strážske,Humenné,Košice,1611831154360,28,11,52,34
20.63426,48.91024,Os 7817 ,300,Markušovce,Poprad-Tatry,Košice,1611831229416,28,11,53,49
20.63426,48.91024,Os 7817 ,300,Markušovce,Poprad-Tatry,Košice,1611831244431,28,11,54,4
20.63426,48.91024,Os 7817 ,300,Markušovce,Poprad-Tatry,Košice,1611831259455,28,11,54,19
21.249126,48.983379,Os 8515 ,0,Prešov,Lipany,Košice,1611831259455,28,11,54,19
20.63426,48.91024,Os 7817 ,300,Markušovce,Poprad-Tatry,Košice,1611831290266,28,11,54,50
21.249126,48.983379,Os 8515 ,0,Prešov,Lipany,Košice,1611831290266,28,11,54,50
20.63426,48.91024,Os 7817 ,300,Markušovce,Poprad-Tatry,Košice,1611831304464,28,11,55,4
21.249126,48.983379,Os 8515 ,0,Prešov,Lipany,Košice,1611831304464,28,11,55,4
20.63426,48.91024,Os 7817 ,300,Markušovce,Poprad-Tatry,Košice,1611831319506,28,11,55,19
21.249126,48.983379,Os 8515 ,0,Prešov,Lipany,Košice,1611831319506,28,11,55,19
20.63426,48.91024,Os 7817 ,300,Markušovce,Poprad-Tatry,Košice,1611831334493,28,11,55,34
21.249126,48.983379,Os 8515 ,0,Prešov,Lipany,Košice,1611831334493,28,11,55,34
20.51402,48.63529,R 931 GEMERAN,180,Rožňava,Zvolen osobná stanica,Košice,1611831349523,28,11,55,49
21.249126,48.983379,Os 8515 ,0,Prešov,Lipany,Košice,1611831349523,28,11,55,49
20.51402,48.63529,R 931 GEMERAN,180,Rožňava,Zvolen osobná stanica,Košice,1611831364513,28,11,56,4
21.249126,48.983379,Os 8515 ,0,Prešov,Lipany,Košice,1611831364513,28,11,56,4
21.249126,48.983379,Os 8515 ,0,Prešov,Lipany,Košice,1611831379517,28,11,56,19
21.249126,48.983379,Os 8515 ,0,Prešov,Lipany,Košice,1611831394524,28,11,56,34
21.249126,48.983379,Os 8515 ,0,Prešov,Lipany,Košice,1611831499584,28,11,58,19
21.629827,48.61264,REX 1901 ,360,Čeľovce,Košice,Humenné,1611831679654,28,12,1,19
21.629827,48.61264,REX 1901 ,360,Čeľovce,Košice,Humenné,1611831694655,28,12,1,34
21.01324,48.89469,R 601 TATRAN,840,Margecany,Bratislava hlavná stanica,Košice,1611831709657,28,12,1,49
21.24601,48.7958,Os 8514 ,0,Kostoľany nad Hornádom,Košice,Lipany,1611831709657,28,12,1,49
21.01324,48.89469,R 601 TATRAN,840,Margecany,Bratislava hlavná stanica,Košice,1611831724658,28,12,2,4
21.24601,48.7958,Os 8514 ,0,Kostoľany nad Hornádom,Košice,Lipany,1611831724658,28,12,2,4
21.24601,48.7958,Os 8514 ,0,Kostoľany nad Hornádom,Košice,Lipany,1611831739687,28,12,2,19
21.24601,48.7958,Os 8514 ,0,Kostoľany nad Hornádom,Košice,Lipany,1611831754670,28,12,2,34
21.90506,49.26186,Os 8915 ,0,Medzilaborce,Humenné,Medzilaborce mesto,1611831829693,28,12,3,49
20.471821,49.184593,Os 8316 ,60,Spišská Belá zastávka,Stará Ľubovňa,Poprad-Tatry,1611831889725,28,12,4,49
