lon,lat,ROUTE_NUMBER,Trip,TripTime,vehicleID,lastStopOrder,lineID,lineType,DELAY,Current_Stop,Current_Stop_ID,Current_Time,Current_Day,Current_Hour,Current_Minutes,Current_Seconds,destination,Dir
21.49321,49.10162,712459,7,905,1007805018,45,1007040461,2,-33,"Kračúnovce, rázc. Kalnište nástupište 1",374,1614091797411,23,15,49,57,"Giraltovce, AS",1
21.34835,48.86868,707405,76,950,1007803147,18,1007040397,2,-255,"Brestov, OcÚ ",1108,1614091812425,23,15,50,12,"Prešov, AS",0
21.15088,49.29325,701418,21,910,1007802735,31,1007040363,2,-103,Krivé ,1010,1614091812425,23,15,50,12,Kríže,1
21.19707,49.11205,708453,16,950,1007804489,17,1007040436,2,-115,Ratvaj,77,1614091812425,23,15,50,12,"Sabinov, AS",0
20.88895,49.16515,708411,93,935,1007804418,29,1007040433,2,-50,"Torysa,,rázc.Oľšov",2601,1614091842438,23,15,50,42,Poloma,1
21.15061,49.29331,701418,21,910,1007802735,31,1007040363,2,-43,Krivé ,1010,1614091872425,23,15,51,12,Kríže,1
21.06159,49.04187,707424,53,910,1007803649,19,1007040406,2,3,Daletice,535,1614091872425,23,15,51,12,"Hermanovce, OcÚ",1
21.20231,49.08892,707435,17,910,1007803774,19,1007040410,2,56,"Hubošovce, Jur",41,1614091872425,23,15,51,12,"Jakubovany, hasičská zbrojnica",1
21.06159,49.04187,707424,53,910,1007803649,19,1007040406,2,3,Daletice,535,1614091902420,23,15,51,42,"Hermanovce, OcÚ",1
21.31582,49.14976,701412,24,910,1007802544,20,1007040360,2,-27,"Raslavice, Hlavná",331,1614091932412,23,15,52,12,"Bardejov, AS",0
21.28216,49.29748,701429,7,955,1007802921,1,1007040370,2,-360,"Bardejov, AS pred žel.st.",2036,1614091932412,23,15,52,12,"Svidník, AS",1
21.25833,49.01081,707445,65,940,1007804006,4,1007040416,2,-19,"Ľubotice, Dopravný podnik ",2897,1614091932412,23,15,52,12,"Giraltovce, AS",1
21.23587,49.02071,708403,270,935,1007804232,8,1007040431,2,-364,"Prešov, rázc. Šidlovec",68,1614091932412,23,15,52,12,"Vyšný Slavkov, OcÚ",0
21.40615,49.14211,712455,26,955,1007804995,20,1007040460,2,-311,"Stuľany, č.d.127",935,1614091932412,23,15,52,12,"Giraltovce, AS",0
21.28216,49.29748,701429,7,955,1007802921,1,1007040370,2,-180,"Bardejov, AS pred žel.st.",2036,1614092112424,23,15,55,12,"Svidník, AS",1
21.28217,49.29747,701429,7,955,1007802921,1,1007040370,2,-120,"Bardejov, AS pred žel.st.",2036,1614092142436,23,15,55,42,"Svidník, AS",1
21.30007,48.95576,707401,24,935,1007803071,18,1007040395,2,68,"Dulova Ves, č.d.132",1044,1614092142436,23,15,55,42,"Prešov, AS",0
20.86563,49.17573,708411,93,935,1007804418,32,1007040433,2,-68,"Šarišské Dravce,,stred",2660,1614092142436,23,15,55,42,Poloma,1
21.36148,48.85525,707407,20,955,1007803192,1,1007040398,2,-98,"Varhaňovce, OcÚ ",1114,1614092157422,23,15,55,57,"Prešov, AS",0
21.28217,49.29747,701429,7,955,1007802921,1,1007040370,2,-120,"Bardejov, AS pred žel.st.",2036,1614092157422,23,15,55,57,"Svidník, AS",1
20.93196,49.14999,708404,125,940,1007804349,14,1007040432,2,50,"Ďačov, potraviny",282,1614092157422,23,15,55,57,"Lipany, AS",1
21.28217,49.29747,701429,7,955,1007802921,1,1007040370,2,-120,"Bardejov, AS pred žel.st.",2036,1614092172430,23,15,56,12,"Svidník, AS",1
21.36148,48.85525,707407,20,955,1007803192,1,1007040398,2,-98,"Varhaňovce, OcÚ ",1114,1614092172430,23,15,56,12,"Prešov, AS",0
21.30906,49.18839,701412,24,910,1007802544,29,1007040360,2,35,"Janovce, rázc. Tročany",302,1614092187436,23,15,56,27,"Bardejov, AS",0
21.36148,48.85525,707407,20,955,1007803192,1,1007040398,2,-38,"Varhaňovce, OcÚ ",1114,1614092187436,23,15,56,27,"Prešov, AS",0
21.27039,48.85193,707410,48,930,1007803268,16,1007040400,2,-40,"Lemešany,,nám.",2130,1614092187436,23,15,56,27,"Prešov, AS",0
21.07874,49.00324,707419,24,930,1007803487,37,1007040404,2,-40,"Chminianska Nová Ves, most",581,1614092187436,23,15,56,27,"Prešov, AS",0
21.38809,49.03774,707442,82,955,1007803899,20,1007040414,2,-63,"Šarišská Poruba, OcÚ",865,1614092187436,23,15,56,27,"Prešov, AS",0
20.92741,49.14771,708404,125,940,1007804349,15,1007040432,2,75,"Ďačov, OcÚ",283,1614092187436,23,15,56,27,"Lipany, AS",1
21.30906,49.18839,701412,24,910,1007802544,29,1007040360,2,35,"Janovce, rázc. Tročany",302,1614092202446,23,15,56,42,"Bardejov, AS",0
21.36148,48.85525,707407,20,955,1007803192,1,1007040398,2,-38,"Varhaňovce, OcÚ ",1114,1614092202446,23,15,56,42,"Prešov, AS",0
21.27019,48.85197,707408,46,930,1007803224,15,1007040399,2,-67,"Lemešany,,nám.",2130,1614092202446,23,15,56,42,"Prešov, AS",0
21.25121,48.98511,707419,81,960,1007803537,1,1007040404,2,0,"Prešov,,AS ",2361,1614092202446,23,15,56,42,"Víťaz, kostol",1
20.92741,49.14771,708404,125,940,1007804349,15,1007040432,2,75,"Ďačov, OcÚ",283,1614092202446,23,15,56,42,"Lipany, AS",1
21.2529,48.97101,707408,7,950,1007803235,3,1007040399,2,37,"Prešov, Košická ul. ",1141,1614092217446,23,15,56,57,"Košice, AS",1
21.25292,48.99599,707431,61,950,1007803732,2,1007040408,2,-26,"Prešov,Nemocnica J.A.Reimana",2355,1614092217446,23,15,56,57,"Sabinov, AS",1
21.25088,48.98472,712459,3,955,1007805017,1,1007040461,2,-183,"Prešov,,AS ",2361,1614092217446,23,15,56,57,"Dukovce, OcÚ",1
21.45023,49.16775,701404,60,940,1007802358,11,1007040356,2,-29,"Marhaň, rázc. Koprivnica",394,1614092232423,23,15,57,12,"Bardejov, AS",0
21.3262,48.89117,707405,76,950,1007803147,19,1007040397,2,20,"Mirkovce, č.d. 17",1736,1614092247427,23,15,57,27,"Prešov, AS",0
20.84766,49.14508,708403,274,940,1007804233,44,1007040431,2,-25,"Brezovica,,nám. ",1992,1614092247427,23,15,57,27,"Vyšný Slavkov, OcÚ",0
21.30905,49.18709,701411,23,935,1007802506,17,1007040359,2,-88,"Janovce, rázc. Tročany",302,1614092277433,23,15,57,57,"Koprivnica, Jednota",1
20.92443,49.14571,708404,125,940,1007804349,16,1007040432,2,38,"Ďačov, konečná",284,1614092277433,23,15,57,57,"Lipany, AS",1
21.08954,49.10407,708452,48,960,1007804467,14,1007040435,2,-278,"Sabinov,,AS",2316,1614092277433,23,15,57,57,"Hanigovce, kostol",0
