lon,lat,ROUTE_NUMBER,DIRECTION,BUS_STOP_ORDER_NUM,BUS_STOP_NUM_1,Current_Stop,BUS_STOP_SUB_NUM_2,BUS_STOP_NUM_2,Next_Stop,PLANNED_ROAD,REAL_ROAD,DELAY,VEHICLE_NUMBER,Current_Time,Current_Day,Current_Hour,Current_Minutes,Current_Seconds
21.24405,48.99316,11,P,7,2,Na Hlavnej,1,3,Veľká pošta,555,383,-134,391,1614944985785,5,12,49,45
21.24284,48.98643,7,T,4,24,Štúrova,0,4,Čierny most,650,35,-46,733,1614945000803,5,12,50,0
21.24407,48.99316,11,P,7,2,Na Hlavnej,1,3,Veľká pošta,555,383,-148,391,1614945000803,5,12,50,0
21.24283,48.98648,7,T,4,24,Štúrova,0,4,Čierny most,650,47,-58,733,1614945015802,5,12,50,15
21.24416,48.99304,11,P,7,2,Na Hlavnej,1,3,Veľká pošta,555,403,-171,391,1614945030812,5,12,50,30
21.24448,48.99259,1,P,9,2,Na Hlavnej,1,3,Veľká pošta,555,433,-59,734,1614945045827,5,12,50,45
21.2449,48.98759,38,P,11,25,Škultétyho,1,35,Železničná stanica,1110,274,-17,726,1614945075840,5,12,51,15
21.24216,48.98986,12,T,13,3,Veľká pošta,0,186,Pavlovičovo nám.,520,392,-66,402,1614945105877,5,12,51,45
21.24459,48.99264,8,T,9,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,372,-149,724,1614945180865,5,12,53,0
21.24429,48.99298,8,T,9,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,423,-164,724,1614945210892,5,12,53,30
21.23561,48.98983,5D,T,2,198,Duchnovičovo nám.,1,199,Prešovská univerzita,441,441,-3,739,1614945255922,5,12,54,15
21.24127,48.98634,5D,T,3,199,Prešovská univerzita,1,25,Škultétyho,706,654,6,739,1614945345958,5,12,55,45
21.24374,48.99358,42,P,1,2,Na Hlavnej,1,3,Veľká pošta,555,322,22,389,1614945360960,5,12,56,0
21.24161,48.98644,5D,T,3,199,Prešovská univerzita,1,25,Škultétyho,706,706,10,739,1614945360960,5,12,56,0
21.24335,48.9941,8,P,10,2,Na Hlavnej,1,3,Veľká pošta,555,272,18,722,1614945360960,5,12,56,0
21.24406,48.99337,1,T,7,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,461,14,732,1614945420954,5,12,57,0
21.2439,48.99352,1,T,8,205,Divadlo Jonáša Záborského,0,2,Na Hlavnej,290,23,2,732,1614945435955,5,12,57,15
21.24341,48.99397,14,P,17,2,Na Hlavnej,1,3,Veľká pošta,555,277,-31,380,1614945646029,5,13,0,46
21.24405,48.99312,14,P,17,2,Na Hlavnej,1,3,Veľká pošta,555,378,-36,380,1614945676043,5,13,1,16
21.24389,48.99353,4,T,10,205,Divadlo Jonáša Záborského,0,2,Na Hlavnej,290,17,-198,744,1614945871103,5,13,4,31
21.24458,48.99261,45,T,9,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,372,-62,350,1614945961119,5,13,6,1
21.24359,48.99381,28,T,1,205,Divadlo Jonáša Záborského,0,2,Na Hlavnej,290,92,-20,384,1614945961119,5,13,6,1
21.24409,48.99323,45,T,9,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,461,-74,350,1614945991148,5,13,6,31
21.23563,48.98989,38,P,9,198,Duchnovičovo nám.,1,199,Prešovská univerzita,441,441,-36,723,1614946126194,5,13,8,46
21.24466,48.9926,1,T,7,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,393,14,740,1614946291254,5,13,11,31
21.24416,48.99324,1,T,7,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,461,-1,740,1614946336278,5,13,12,16
21.24321,48.99437,1,T,8,205,Divadlo Jonáša Záborského,0,2,Na Hlavnej,290,156,-3,740,1614946366277,5,13,12,46
21.24432,48.99298,2,T,5,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,414,-77,736,1614946456307,5,13,14,16
21.24305,48.98522,7,T,3,23,Priemyselné centrum,0,24,Štúrova,462,369,4,737,1614946726405,5,13,18,46
21.24065,48.99297,32A,T,6,4,Čierny most,0,531,Okružná,850,720,-70,375,1614946726405,5,13,18,46
21.24129,48.98637,27,T,6,26,Mestská hala,1,25,Škultétyho,327,274,-7,387,1614946756424,5,13,19,16
21.24284,48.98686,7,T,4,24,Štúrova,0,4,Čierny most,650,82,-3,737,1614946771436,5,13,19,31
21.24397,48.99331,23,P,2,2,Na Hlavnej,1,531,Okružná,800,352,-9,386,1614946786421,5,13,19,46
21.24455,48.98745,27,T,7,25,Škultétyho,0,4,Čierny most,635,236,-16,387,1614946816427,5,13,20,16
21.2428,48.99241,23,P,2,2,Na Hlavnej,1,531,Okružná,800,531,-4,386,1614946816427,5,13,20,16
21.24463,48.99261,#,R,1,113,Kpt.Nálepku,0,205,Divadlo Jonáša Záborského,270,95,-17,390,1614946816427,5,13,20,16
21.24001,48.99353,23,P,2,2,Na Hlavnej,1,531,Okružná,800,800,-15,386,1614946891472,5,13,21,31
21.23976,48.99369,23,P,3,531,Okružná,1,532,Floriánova,400,43,-32,386,1614946921471,5,13,22,1
21.2438,48.99345,5,P,4,2,Na Hlavnej,1,3,Veľká pošta,555,322,-174,735,1614946936479,5,13,22,16
21.24448,48.99274,11,T,9,113,Kpt.Nálepku,0,205,Divadlo Jonáša Záborského,303,220,-49,391,1614946951485,5,13,22,31
21.24495,48.99223,7,T,5,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,305,-35,737,1614946981497,5,13,23,1
21.24459,48.99257,39,T,7,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,360,-309,356,1614946981497,5,13,23,1
21.24433,48.993,7,T,5,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,402,-53,737,1614947026509,5,13,23,46
21.24411,48.99307,4,P,10,2,Na Hlavnej,1,3,Veľká pošta,555,358,41,742,1614947146557,5,13,25,46
21.24115,48.98633,5,T,3,199,Prešovská univerzita,1,25,Škultétyho,706,673,5,736,1614947161566,5,13,26,1
21.2416,48.98648,5,T,3,199,Prešovská univerzita,1,25,Škultétyho,706,706,8,736,1614947176564,5,13,26,16
21.24185,48.98657,5,T,4,25,Škultétyho,0,4,Čierny most,635,17,-2,736,1614947191567,5,13,26,31
21.24448,48.99274,19,T,14,4,Čierny most,1,114,Grešova,500,368,-157,399,1614947296598,5,13,28,16
21.24279,48.98615,7,P,11,4,Čierny most,1,24,Štúrova,720,634,-145,733,1614947416623,5,13,30,16
21.24158,48.98646,38,P,10,199,Prešovská univerzita,1,25,Škultétyho,706,706,3,725,1614947416623,5,13,30,16
21.24284,48.98544,7,P,11,4,Čierny most,1,24,Štúrova,720,720,-133,733,1614947431650,5,13,30,31
21.24425,48.993,29,T,4,120,Moyzesova,0,205,Divadlo Jonáša Záborského,600,518,-148,393,1614947476636,5,13,31,16
